sentence_id,sentence_text
1251,Su salud pareció mejorar y en el verano estuvo de buen humor.
1252,La mayor reserva de agua se encuentra en el lago Biwa al noreste de Kioto.
1253,"En su vasta e influyente obra, incursionó en los campos de la filosofía, la historia, la sociología y la economía."
1254,Con Zapatero como presidente del gobierno se retiran las tropas españolas que permanecían en Irak.
1255,"Los activadores que se necesitan con más frecuencia son los iones de hierro, cobre, manganeso, magnesio, cobalto y zinc."
1256,Cuando el profesional debe tomar decisiones sobre su trabajo basadas en las normas del mismo y en el código deontológico.
1257,"Cosas memorables de acuerdos capitulares desde el año 1306 hasta el año 1583, sobre varias materias de gobierno, hacienda, presentaciones."
1258,"Estos países tendrán a mediano plazo un PIB igual o superior al BRIC Brasil, Rusia, India, China."
1260,"Bill Clinton, inaugura los actos conmemorativos del cincuentenario de la ONU con la condena a Irán, Irak, Libia y Sudán por apoyar el terrorismo."
1262,"No goza de un seguimiento masivo, debido a lo esporádicos de estos partidos amistosos y a su falta de participación en competición oficial alguna."
1263,"El Savate, por ejemplo, surgió en Francia y los movimientos atléticos de la Capoeira vienen de Brasil."
1264,"La ciencia es vasta, la vida es sutil, y para corregir esta distancia es que nos interesa la literatura."
1259,Cuando es pequeña debe mantenerse en un pequeño terrario con tierra especial para carnívoras.
1261,La inflación al consumidor hasta enero de 2008 estuvo situada alrededor del 1.
1265,Laercio también asegura que es de Thales el proverbio: Conócete a ti mismo.
1266,1999 La ONU decide retirar a todo el personal estadounidense y británico instalado en Irak.
1267,En 1947 Buenos Aires acoge una Exposición de Arte Español y aparece entre las obras pictóricas el cuadro de Solana sobre el Pombo.
1273,"Sin embargo, es comón mencionar a tres Melchor, Gaspar y Baltasar, y considerarlos originarios de Asia, Europa y África respectivamente."
1269,"El confucianismo ha ejercido una gran influencia sobre China, Corea, Vietnam y Japón."
1268,"Los mejores jugadores europeos acuden a Japón, China y Corea a estudiar el juego, convirtiéndose algunos en profesionales."
1270,Actualmente se tiene la inquietud y la necesidad de proseguir con la nunca acabada labor cartográfica.
1271,"Lo poco que se conoce de la vida de Thales proviene de fuentes antiguas, algunas un tanto dispares."
1272,"El nacimiento del Imperio viene precedido por la expansión de su capital, Roma, que extendió su control en torno al mar Mediterráneo."
1274,"El fútbol rugby, popularmente conocido como rugby, es un deporte de contacto en equipo nacido en Inglaterra."
1276,"Es la capacidad que tiene de ser fácilmente reproducido en diversos formatos, tamaños, colores de fondo y medidas."
1277,Su gobierno fue corto y estuvo salpicado por escándalos como el caso de los misiles Chinos.
1275,"1993 Aviones estadounidenses disparan contra un radar en el norte de Irak, primer acto de este tipo dentro de la nueva administración de Clinton."
1278,"Así, cualquier cosa adentro del horizonte de eventos, incluyendo fotones, no pueden escapar debido al extremadamente intenso campo gravitacional."
1279,"Algunos estudiosos sostienen que Thales no escribió ninguna obra, y que su conocimiento se transmitió, en un principio, de forma oral."
1280,Ahora utilizamos el teorema de pitágoras de nuevo para hallar la longitud de la hipotenusa.
